COM,status,mean_altitude,superficie,is_metropole,metropole_name
33104,Chef-lieu canton,32.0,2388.0,0,
45188,Commune simple,132.0,3435.0,0,
39124,Chef-lieu canton,210.0,622.0,0,
38558,Commune simple,259.0,1106.0,0,
90008,Commune simple,367.0,473.0,0,
71400,Commune simple,329.0,733.0,0,
87140,Commune simple,246.0,2080.0,0,
73227,Commune simple,2026.0,5881.0,0,
95574,Commune simple,125.0,795.0,0,
62043,Commune simple,3.0,2082.0,0,
72237,Commune simple,73.0,1760.0,0,
48146,Chef-lieu canton,866.0,8741.0,0,
31184,Commune simple,196.0,971.0,1,Toulouse
18185,Commune simple,187.0,7445.0,0,
21516,Commune simple,291.0,432.0,0,
32010,Commune simple,288.0,650.0,0,
12117,Commune simple,1103.0,2675.0,0,
15266,Commune simple,731.0,988.0,0,
03025,Commune simple,233.0,3464.0,0,
69038,Commune simple,576.0,1540.0,0,
57340,Commune simple,242.0,661.0,0,
88417,Commune simple,315.0,579.0,0,
69263,Commune simple,705.0,1406.0,0,
85004,Commune simple,5.0,3342.0,0,
24429,Commune simple,172.0,1731.0,0,
16307,Commune simple,84.0,1036.0,0,
62172,Commune simple,88.0,412.0,0,
59457,Commune simple,26.0,304.0,1,Lille
87161,Chef-lieu canton,347.0,5548.0,0,
29116,Commune simple,85.0,223.0,0,
36130,Commune simple,232.0,1892.0,0,
59529,Commune simple,172.0,1026.0,0,
34159,Commune simple,38.0,1126.0,0,
57236,Commune simple,244.0,442.0,0,
39355,Commune simple,343.0,1071.0,0,
89085,Commune simple,98.0,698.0,0,
16079,Commune simple,98.0,1797.0,0,
03258,Commune simple,284.0,2095.0,0,
35352,Commune simple,47.0,1986.0,1,Rennes
07109,Commune simple,579.0,1208.0,0,
37144,Commune simple,61.0,2142.0,0,
76366,Commune simple,59.0,296.0,1,Rouen
01447,Commune simple,322.0,1748.0,0,
72240,Commune simple,107.0,683.0,0,
31035,Commune simple,186.0,672.0,0,
66203,Commune simple,758.0,629.0,0,
23082,Commune simple,419.0,1226.0,0,
16254,Commune simple,94.0,857.0,0,
21714,Commune simple,263.0,369.0,0,
27306,Commune simple,140.0,1537.0,0,
87080,Commune simple,228.0,2030.0,0,
26018,Commune simple,900.0,1071.0,0,
50023,Commune simple,8.0,1890.0,0,
88051,Commune simple,365.0,618.0,0,
65400,Commune simple,1233.0,2748.0,0,
06074,Chef-lieu canton,945.0,4464.0,1,Nice
80658,Commune simple,84.0,684.0,0,
45049,Commune simple,129.0,3734.0,0,
26307,Chef-lieu canton,590.0,2803.0,0,
50118,Commune simple,114.0,922.0,0,
01392,Commune simple,487.0,1423.0,0,
31529,Commune simple,307.0,546.0,0,
38306,Commune simple,1553.0,4331.0,0,
07115,Commune simple,205.0,1781.0,0,
16261,Commune simple,112.0,2095.0,0,
34172,Préfecture de région,45.0,5711.0,1,Montpellier
73139,Commune simple,1375.0,3238.0,0,
37277,Commune simple,124.0,3496.0,0,
77459,Commune simple,148.0,2342.0,0,
22064,Chef-lieu canton,160.0,663.0,0,
83038,Commune simple,686.0,4097.0,0,
45199,Commune simple,174.0,2413.0,0,
40174,Commune simple,158.0,546.0,0,
95430,Commune simple,131.0,383.0,0,
27350,Commune simple,138.0,2091.0,0,
80374,Commune simple,80.0,1144.0,0,
38338,Commune simple,646.0,1835.0,0,
90083,Commune simple,365.0,151.0,0,
60090,Commune simple,108.0,478.0,0,
76637,Commune simple,76.0,397.0,0,
80699,Commune simple,134.0,307.0,0,
2A209,Commune simple,537.0,2407.0,0,
48152,Commune simple,713.0,1689.0,0,
55004,Commune simple,235.0,910.0,0,
80214,Commune simple,130.0,944.0,0,
31361,Commune simple,236.0,1795.0,0,
07219,Commune simple,409.0,706.0,0,
25440,Commune simple,726.0,1581.0,0,
71376,Commune simple,594.0,3060.0,0,
56237,Commune simple,98.0,2152.0,0,
14552,Chef-lieu canton,34.0,972.0,0,
04241,Commune simple,568.0,971.0,0,
76065,Commune simple,193.0,1848.0,0,
22246,Commune simple,60.0,1360.0,0,
72162,Commune simple,145.0,679.0,0,
21616,Commune simple,204.0,461.0,0,
35022,Chef-lieu canton,148.0,55.0,1,Rennes
65064,Commune simple,1445.0,2123.0,0,
53184,Commune simple,67.0,984.0,0,
62521,Commune simple,110.0,70.0,0,
25053,Commune simple,618.0,924.0,0,
65408,Commune simple,1271.0,3243.0,0,
88196,Chef-lieu canton,821.0,5562.0,0,
65392,Commune simple,400.0,834.0,0,
53061,Commune simple,212.0,1485.0,0,
53123,Commune simple,158.0,6257.0,0,
69068,Commune simple,304.0,310.0,0,
69269,Commune simple,710.0,1067.0,0,
11114,Commune simple,260.0,404.0,0,
26127,Commune simple,601.0,821.0,0,
73232,Commune simple,2329.0,11007.0,0,
37070,Commune simple,98.0,426.0,0,
14200,Chef-lieu canton,40.0,857.0,0,
38060,Commune simple,600.0,395.0,0,
14110,Commune simple,13.0,668.0,0,
26102,Commune simple,285.0,997.0,0,
69198,Commune simple,385.0,650.0,0,
2B350,Commune simple,414.0,1086.0,0,
79349,Commune simple,114.0,1688.0,0,
13023,Commune simple,270.0,2314.0,0,
57613,Commune simple,250.0,994.0,0,
2B263,Commune simple,619.0,993.0,0,
02040,Commune simple,160.0,688.0,0,
50261,Commune simple,136.0,716.0,0,
